armRegionName,serviceFamily,serviceName,skuName,armSkuName,retailPrice,priceType,reservationTerm,unitOfMeasure,currencyCode
koreacentral,Compute,Azure App Service,ASIP,App_Service_v2_ASIP_linux,0.137,,,1 Hour,USD
koreacentral,Compute,Azure App Service,ASIP,App_Service_v2_ASIP_linux,780.0,,1 Year,1 Hour,USD
koreacentral,Compute,Azure App Service,ASIP,App_Service_v2_ASIP_linux,1620.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96ads v6 Low Priority,Standard_D96ads_v6,4.466,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96ads v6 Low Priority,Standard_D96ads_v6,1.35,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2lds v5 Low Priority,Standard_D2lds_v5,0.022,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HX176-48rs Spot,Standard_HX176-48rs,1.796256,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F2s v2,Standard_F2s_v2,0.188,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F2s v2,Standard_F2s_v2,0.096,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64as v4 Low Priority,Standard_D64as_v4,2.688,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64as v4 Low Priority,Standard_D64as_v4,0.755,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HX176-96rs Spot,Standard_HX176-96rs,1.796256,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX24-12mds v2 Spot,Standard_FX24-12mds_v2,0.76176,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,HB176-144rsv4 Low Priority,Standard_HB176-144rs_v4,1.944,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX64ms v2,Standard_FX64ms_v2,13.216,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX64ms v2,Standard_FX64ms_v2,10.272,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ads v6,Standard_D4ads_v6,0.465,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ads v6,Standard_D4ads_v6,0.281,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2ds v6,Standard_D2ds_v6,0.245,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2ds v6,Standard_D2ds_v6,0.153,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32a v4 Low Priority,Standard_D32a_v4,0.378,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96ls v5 Spot,Standard_D96ls_v5,1.292237,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96ls v5 Spot,Standard_D96ls_v5,0.659866,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX48-12mds v2,Standard_FX48-12mds_v2,11.73,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX48-12mds v2,Standard_FX48-12mds_v2,9.522,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48 v4 Spot,Standard_D48_v4,0.405542,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX2ms v2 Spot,Standard_FX2ms_v2,0.06608,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX2ms v2 Spot,Standard_FX2ms_v2,0.05136,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8ds v4,Standard_D8ds_v4,0.924,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8ds v4,Standard_D8ds_v4,0.556,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX8-4ms_v2 Spot,Standard_FX8-4ms_v2,0.20544,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4als v6 Low Priority,Standard_D4als_v6,0.0396,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96lds v6 Spot,Standard_D96lds_v6,1.488707,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96lds v6 Spot,Standard_D96lds_v6,0.856336,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,ND96isrH100v5,Standard_ND96isr_H100_v5,137.148,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,ND96isrH100v5,Standard_ND96isr_H100_v5,132.732,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96lds v5 Spot,Standard_D96lds_v5,0.756096,,,1 Hour,USD
koreacentral,Compute,Azure App Service,P4mv4,P4mv4,2.743,,,1 Hour,USD
koreacentral,Compute,Cloud Services,E64i v3 Low Priority,Standard_E64i_v3,2.928,,,1 Hour,USD
koreacentral,Compute,Cloud Services,E64i v3 Low Priority,Standard_E64i_v3,0.875,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64ls v6 Spot,Standard_D64ls_v6,0.883544,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64ls v6 Spot,Standard_D64ls_v6,0.461963,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8 v4,Standard_D8_v4,0.472,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8 v4,Standard_D8_v4,2404.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8 v4,Standard_D8_v4,4664.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64ds v6 Spot,Standard_D64ds_v6,0.70168,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32lds v5 Low Priority,Standard_D32lds_v5,1.293,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32lds v5 Low Priority,Standard_D32lds_v5,0.352,,,1 Hour,USD
